mac_type,layer_idx,value,count
attn_score,9,10,1304689
attn_score,9,12,1191926
attn_score,9,14,1066661
attn_score,9,16,934541
attn_score,9,18,798479
attn_score,9,20,667412
attn_score,9,22,543650
attn_score,9,24,430233
attn_score,9,26,329320
attn_score,9,28,246942
attn_score,9,30,178789
attn_score,9,32,127209
attn_score,9,34,86673
attn_score,9,36,57522
attn_score,9,38,36870
attn_score,9,40,23575
attn_score,9,42,15042
attn_score,9,44,10002
attn_score,9,46,7033
attn_score,9,48,5341
attn_score,9,50,4299
attn_score,9,52,3613
attn_score,9,54,3054
attn_score,9,56,2714
attn_score,9,58,2393
attn_score,9,60,1996
attn_score,9,62,1350
attn_score,9,64,516
attn_score,10,-62,45
attn_score,10,-60,225
attn_score,10,-58,768
attn_score,10,-56,2857
attn_score,10,-54,8156
attn_score,10,-52,18412
attn_score,10,-50,36394
attn_score,10,-48,64048
attn_score,10,-46,103558
attn_score,10,-44,151813
attn_score,10,-42,208271
attn_score,10,-40,262117
attn_score,10,-38,310169
attn_score,10,-36,348753
attn_score,10,-34,383428
attn_score,10,-32,414800
attn_score,10,-30,451532
attn_score,10,-28,496428
attn_score,10,-26,550445
attn_score,10,-24,615308
attn_score,10,-22,686574
attn_score,10,-20,762649
attn_score,10,-18,837887
attn_score,10,-16,901196
attn_score,10,-14,953931
attn_score,10,-12,995414
attn_score,10,-10,1023453
attn_score,10,-8,1040442
attn_score,10,-6,1050519
attn_score,10,-4,1050148
attn_score,10,-2,1047251
attn_score,10,0,1038643
attn_score,10,2,1022436
attn_score,10,4,998850
attn_score,10,6,967193
attn_score,10,8,921244
attn_score,10,10,865250
attn_score,10,12,795569
attn_score,10,14,718720
attn_score,10,16,632173
attn_score,10,18,541808
attn_score,10,20,449986
attn_score,10,22,363494
attn_score,10,24,283582
attn_score,10,26,214088
attn_score,10,28,157161
attn_score,10,30,112212
attn_score,10,32,78364
attn_score,10,34,54970
attn_score,10,36,38796
attn_score,10,38,28582
attn_score,10,40,21828
attn_score,10,42,17862
attn_score,10,44,15125
attn_score,10,46,12736
attn_score,10,48,10628
attn_score,10,50,8552
attn_score,10,52,6463
attn_score,10,54,4726
attn_score,10,56,3574
attn_score,10,58,2419
attn_score,10,60,1262
attn_score,10,62,451
attn_score,10,64,86
attn_score,11,-64,1
attn_score,11,-62,44
attn_score,11,-60,1305
attn_score,11,-58,6126
attn_score,11,-56,20561
attn_score,11,-54,48505
attn_score,11,-52,88969
attn_score,11,-50,140717
attn_score,11,-48,190018
attn_score,11,-46,236832
attn_score,11,-44,280859
attn_score,11,-42,328101
attn_score,11,-40,391083
attn_score,11,-38,467347
attn_score,11,-36,547195
attn_score,11,-34,620700
attn_score,11,-32,673658
attn_score,11,-30,715449
attn_score,11,-28,743478
attn_score,11,-26,756228
attn_score,11,-24,759796
